mls,latitude,longitude,campus_number,rating
242718,29.74515327,-95.46933089,101912116,B
535780,29.73437636,-95.47879482,101912116,B
3724611,29.73551194,-95.48246474,101912116,B
3834876,29.75554915,-95.46625197,101912116,B
4449267,29.75862834,-95.47170918,101912116,B
5232947,29.74819737,-95.50136516,101912116,B
8478987,29.74453858,-95.48875685,101912116,B
9503476,29.76453851,-95.47708181,101912116,B
10013743,29.75709325,-95.46364139,101912116,B
10848594,29.74317626,-95.4885449,101912116,B
10992816,29.74227161,-95.47017873,101912116,B
12994846,29.74254832,-95.50543265,101912116,B
14753120,29.74453858,-95.48875685,101912116,B
15244885,29.75652361,-95.46214878,101912116,B
15899077,29.73375,-95.47304259,101912116,B
17936925,29.75154086,-95.46647848,101912116,B
18079006,29.75567251,-95.46757496,101912116,B
18828450,29.76228353,-95.47040386,101912116,B
19212744,29.75692119,-95.46387694,101912116,B
20895706,29.75224255,-95.48866617,101912116,B
22686426,29.754988,-95.459836,101912116,B
22786898,29.73268634,-95.468993,101912116,B
22829072,29.75244506,-95.46538402,101912116,B
22986427,29.76622218,-95.47892227,101912116,B
23612646,29.73552315,-95.48115666,101912116,B
23623971,29.72831769,-95.46885033,101912116,B
23990208,29.74319984,-95.46965278,101912116,B
24087275,29.74670745,-95.49294574,101912116,B
25996363,29.74449368,-95.48856705,101912116,B
26405425,29.73900515,-95.47471235,101912116,B
27314558,29.73684696,-95.46914888,101912116,B
27436532,29.76313939,-95.47404035,101912116,B
28591492,29.7560688,-95.46474278,101912116,B
29114226,29.76169925,-95.46865316,101912116,B
29168820,29.75607625,-95.49103136,101912116,B
29827083,29.75072573,-95.46598822,101912116,B
32219004,29.734361,-95.47018271,101912116,B
32830094,29.73302704,-95.48078386,101912116,B
33396805,29.75702205,-95.46578388,101912116,B
33896601,29.73433806,-95.47319971,101912116,B
34017288,29.75050726,-95.47078375,101912116,B
34320226,29.74607757,-95.48757451,101912116,B
34933911,29.74213714,-95.47721296,101912116,B
36165254,29.75148131,-95.46551924,101912116,B
36862015,29.75572364,-95.46595896,101912116,B
37378060,29.73555515,-95.47727037,101912116,B
37441258,29.72831557,-95.46905286,101912116,B
37623074,29.75500955,-95.48891522,101912116,B
38050643,29.76884343,-95.47544753,101912116,B
38351593,29.74208659,-95.48751829,101912116,B
38668231,29.73684541,-95.46934422,101912116,B
39567934,29.75127152,-95.47058863,101912116,B
40151811,29.72699073,-95.46944549,101912116,B
40203824,29.76236352,-95.4706199,101912116,B
40252222,29.75444977,-95.494238,101912116,B
41699706,29.75378249,-95.48761441,101912116,B
43604377,29.75079047,-95.4888343,101912116,B
43957367,29.74434696,-95.48875363,101912116,B
44607125,29.72701443,-95.46881605,101912116,B
44613096,29.75686611,-95.46553433,101912116,B
44703631,29.8035186,-95.4176687,101912116,B
44978406,29.76528642,-95.4775032,101912116,B
45104240,29.75399609,-95.47943871,101912116,B
46930958,29.74010306,-95.49414412,101912116,B
47154111,29.74792551,-95.48975067,101912116,B
48249192,29.73302817,-95.4807119,101912116,B
48465429,29.7493543,-95.50123239,101912116,B
49616925,29.74179296,-95.4887099,101912116,B
49764750,29.76839917,-95.47100106,101912116,B
50200149,29.73418887,-95.48201404,101912116,B
50308928,29.7558426,-95.47519288,101912116,B
50754531,29.74237876,-95.49073382,101912116,B
50968832,29.73418904,-95.48198565,101912116,B
51165001,29.75805174,-95.4891004,101912116,B
51414640,29.76032504,-95.47988396,101912116,B
52121536,29.75857782,-95.48951307,101912116,B
53229853,29.73302817,-95.4807119,101912116,B
54060539,29.814125,-95.3883449,101912116,B
54086224,29.76445327,-95.4694385,101912116,B
54430802,29.75300855,-95.48302862,101912116,B
54537275,29.7368458,-95.46929539,101912116,B
54668520,29.74870204,-95.48879827,101912116,B
55072083,29.74162824,-95.4945686,101912116,B
55808807,29.7366818,-95.46929339,101912116,B
56787775,29.764167,-95.463293,101912116,B
57370805,29.75489005,-95.48735685,101912116,B
57671378,29.75441684,-95.46573841,101912116,B
58479431,29.734188,-95.482156,101912116,B
